Filename,Year,Month,Date,Description,Type of Notice,Nr. of Repos Affected
2017-02-07-Yahoo.md,2017,02,07,Yahoo.md,Takedown,1
2017-02-08-GobelinLand.md,2017,02,08,GobelinLand.md,Takedown,1
2017-02-08-MahJongLeh.md,2017,02,08,MahJongLeh.md,Takedown,3
2017-02-08-OReilly.md,2017,02,08,OReilly.md,Takedown,1
2017-02-08-Pearson.md,2017,02,08,Pearson.md,Takedown,1
2017-02-09-Alelo.md,2017,02,09,Alelo.md,Takedown,1
2017-02-09-CEB.md,2017,02,09,CEB.md,Takedown,1
2017-02-09-EnsageSharp.md,2017,02,09,EnsageSharp.md,Takedown,2
2017-02-09-Loadout.md,2017,02,09,Loadout.md,Takedown,1
2017-02-09-RBoyApps.md,2017,02,09,RBoyApps.md,Takedown,3
2017-02-10-Parvist.md,2017,02,10,Parvist.md,Takedown,1
2017-02-11-ezbot.md,2017,02,11,ezbot.md,Takedown,3
2017-02-13-font.md,2017,02,13,font.md,Takedown,1
2017-02-13-Galleria-2.md,2017,02,13,Galleria-2.md,Takedown,75
2017-02-13-Galleria-3.md,2017,02,13,Galleria-3.md,Takedown,22
2017-02-13-Galleria-4.md,2017,02,13,Galleria-4.md,Takedown,20
2017-02-13-Galleria-5.md,2017,02,13,Galleria-5.md,Takedown,91
2017-02-13-Galleria-6.md,2017,02,13,Galleria-6.md,Takedown,81
2017-02-13-Galleria-7.md,2017,02,13,Galleria-7.md,Takedown,73
2017-02-13-Galleria-9.md,2017,02,13,Galleria-9.md,Takedown,91
2017-02-13-Galleria-10.md,2017,02,13,Galleria-10.md,Takedown,15
2017-02-13-Galleria-11.md,2017,02,13,Galleria-11.md,Takedown,75
2017-02-13-Galleria.md,2017,02,13,Galleria.md,Takedown,86
2017-02-13-HackersGuide.md,2017,02,13,HackersGuide.md,Takedown,1
2017-02-13-Loadout.md,2017,02,13,Loadout.md,Takedown,1
2017-02-13-MineCraft-Huzuni.md,2017,02,13,MineCraft-Huzuni.md,Takedown,3
2017-02-13-OffensiveSecurity.md,2017,02,13,OffensiveSecurity.md,Takedown,1
2017-02-13-ProbabilisticGraphicalModels.md,2017,02,13,ProbabilisticGraphicalModels.md,Takedown,1
2017-02-13-SIAM.md,2017,02,13,SIAM.md,Takedown,1
2017-02-13-UIL.md,2017,02,13,UIL.md,Takedown,1
2017-02-13-Webkul.md,2017,02,13,Webkul.md,Takedown,1
2017-02-14-Pearson.md,2017,02,14,Pearson.md,Takedown,3
2017-02-14-tournamentbot.md,2017,02,14,tournamentbot.md,Takedown,1
2017-02-15-EverBank.md,2017,02,15,EverBank.md,Takedown,1
2017-02-15-Intel.md,2017,02,15,Intel.md,Takedown,1
2017-02-15-StormofSwords.md,2017,02,15,StormofSwords.md,Takedown,1
2017-02-16-Galleria-2-Counternotice.md,2017,02,16,Galleria-2-Counternotice.md,Counter Notice,1
2017-02-17-ezbot-counternotice.md,2017,02,17,ezbot-counternotice.md,Counter Notice,1
2017-02-17-ezbot.md,2017,02,17,ezbot.md,Takedown,1
2017-02-17-HackersGuidetoPython.md,2017,02,17,HackersGuidetoPython.md,Takedown,186
2017-02-17-Ittaim.md,2017,02,17,Ittaim.md,Takedown,25
2017-02-17-Jetbrains.md,2017,02,17,Jetbrains.md,Takedown,22
2017-02-17-tournamentbot.md,2017,02,17,tournamentbot.md,Takedown,1
2017-02-17-wisers.md,2017,02,17,wisers.md,Takedown,1
2017-02-20-OwlGaming.md,2017,02,20,OwlGaming.md,Takedown,1
2017-02-20-Parvist-reversal.md,2017,02,20,Parvist-reversal.md,Retraction,?
2017-02-21-AMCAT.md,2017,02,21,AMCAT.md,Takedown,5
2017-02-21-Delgeo.md,2017,02,21,Delgeo.md,Takedown,1
2017-02-21-Galleria-5-Retraction.md,2017,02,21,Galleria-5-Retraction.md,Retraction,1
2017-02-21-MarkMonitor.md,2017,02,21,MarkMonitor.md,Takedown,1
2017-02-21-ngbook.md,2017,02,21,ngbook.md,Takedown,1
2017-02-22-Accenture.md,2017,02,22,Accenture.md,Takedown,1
2017-02-22-Galleria-6-counternotice.md,2017,02,22,Galleria-6-counternotice.md,Counter Notice,1
2017-02-22-hightopo.md,2017,02,22,hightopo.md,Takedown,1
2017-02-22-SynologyInc.md,2017,02,22,SynologyInc.md,Takedown,1
2017-02-23-Deezer.md,2017,02,23,Deezer.md,Takedown,1
2017-02-23-Elobuddy.md,2017,02,23,Elobuddy.md,Takedown,1
2017-02-23-EpicGames.md,2017,02,23,EpicGames.md,Takedown,1
2017-02-23-Galleria-7-counternotice.md,2017,02,23,Galleria-7-counternotice.md,Counter Notice,1
2017-02-23-Ninjaimg.md,2017,02,23,Ninjaimg.md,Takedown,1
2017-02-23-Shop++.md,2017,02,23,Shop++.md,Takedown,1
2017-02-23-websdk.md,2017,02,23,websdk.md,Takedown,1
2017-02-24-GPUfit.md,2017,02,24,GPUfit.md,Takedown,1
2017-02-24-tournamentbot-counternotice.md,2017,02,24,tournamentbot-counternotice.md,Counter Notice,1
2017-02-25-SyncMe.md,2017,02,25,SyncMe.md,Takedown,1
2017-02-27-Attributor.md,2017,02,27,Attributor.md,Takedown,2
2017-02-27-AutoAvatar.md,2017,02,27,AutoAvatar.md,Takedown,1
2017-02-27-CloudSixteen.md,2017,02,27,CloudSixteen.md,Takedown,1
2017-02-27-CloudSixteen2.md,2017,02,27,CloudSixteen2.md,Takedown,1
2017-02-27-Galleria-6-Retraction.md,2017,02,27,Galleria-6-Retraction.md,Retraction,1
2017-02-27-Galleria-7-Retraction.md,2017,02,27,Galleria-7-Retraction.md,Retraction,1
2017-02-27-Kensington.md,2017,02,27,Kensington.md,Takedown,1
2017-02-27-Mobiscroll.md,2017,02,27,Mobiscroll.md,Takedown,5
2017-02-27-MusixMatch.md,2017,02,27,MusixMatch.md,Takedown,1
2017-02-27-PacktPublishing.md,2017,02,27,PacktPublishing.md,Takedown,1
2017-02-27-Pearson.md,2017,02,27,Pearson.md,Takedown,2
2017-02-27-Petrolink.md,2017,02,27,Petrolink.md,Takedown,1
2017-02-27-websdk.md,2017,02,27,websdk.md,Takedown,1
2017-02-28-BeoStore.md,2017,02,28,BeoStore.md,Takedown,2
2017-02-28-Cengage.md,2017,02,28,Cengage.md,Takedown,5
2017-02-28-GitKraken.md,2017,02,28,GitKraken.md,Takedown,1
2017-02-28-NabEnterprises.md,2017,02,28,NabEnterprises.md,Takedown,1
2017-02-28-SiliconLabs.md,2017,02,28,SiliconLabs.md,Takedown,1
2017-02-28-Stereoarts.md,2017,02,28,Stereoarts.md,Takedown,1
2017-02-28-UniversityGeorgia.md,2017,02,28,UniversityGeorgia.md,Takedown,1
2017-03-01-Appriss.md,2017,03,01,Appriss.md,Takedown,1
2017-03-01-Galleria-2-Retraction.md,2017,03,01,Galleria-2-Retraction.md,Retraction,75
2017-03-01-Galleria-3-Retraction.md,2017,03,01,Galleria-3-Retraction.md,Retraction,22
2017-03-01-Galleria-4-Retraction.md,2017,03,01,Galleria-4-Retraction.md,Retraction,21
2017-03-01-Galleria-5-Retraction.md,2017,03,01,Galleria-5-Retraction.md,Retraction,91
2017-03-01-Galleria-6-Retraction.md,2017,03,01,Galleria-6-Retraction.md,Retraction,81
2017-03-01-Galleria-7-Retraction.md,2017,03,01,Galleria-7-Retraction.md,Retraction,73
2017-03-01-Galleria-9-Retraction.md,2017,03,01,Galleria-9-Retraction.md,Retraction,91
2017-03-01-Galleria-10-Retraction.md,2017,03,01,Galleria-10-Retraction.md,Retraction,15
2017-03-01-Galleria-11-Retraction.md,2017,03,01,Galleria-11-Retraction.md,Retraction,75
2017-03-01-Galleria-Retraction.md,2017,03,01,Galleria-Retraction.md,Retraction,86
2017-03-01-IEMLS.md,2017,03,01,IEMLS.md,Takedown,1
2017-03-01-Nucleo.md,2017,03,01,Nucleo.md,Takedown,1
2017-03-01-Stereoarts.md,2017,03,01,Stereoarts.md,Takedown,1
2017-03-02-Maps.md,2017,03,02,Maps.md,Takedown,1
2017-03-02-ocajavaguide.md,2017,03,02,ocajavaguide.md,Takedown,14
2017-03-02-Oracle-Certified.md,2017,03,02,Oracle-Certified.md,Takedown,11
2017-03-02-ParcelPerform.md,2017,03,02,ParcelPerform.md,Takedown,1
2017-03-02-SiliconLabs.md,2017,03,02,SiliconLabs.md,Takedown,1
2017-03-02-Ucenter.md,2017,03,02,Ucenter.md,Takedown,2
2017-03-03-Ambarella.md,2017,03,03,Ambarella.md,Takedown,12
2017-03-03-Dungeon-Realms.md,2017,03,03,Dungeon-Realms.md,Takedown,1
2017-03-03-Elysium.md,2017,03,03,Elysium.md,Takedown,1
2017-03-06-123Landlord.md,2017,03,06,123Landlord.md,Takedown,1
2017-03-06-IconFinder.md,2017,03,06,IconFinder.md,Takedown,1
2017-03-06-IWD.md,2017,03,06,IWD.md,Takedown,1
2017-03-06-MT4Manager.md,2017,03,06,MT4Manager.md,Takedown,1
2017-03-06-NNG.md,2017,03,06,NNG.md,Takedown,5
2017-03-06-Petrolink.md,2017,03,06,Petrolink.md,Takedown,1
2017-03-06-Pluralsight.md,2017,03,06,Pluralsight.md,Takedown,4
2017-03-06-PrivateBlog.md,2017,03,06,PrivateBlog.md,Takedown,1
2017-03-06-RhythmTool.md,2017,03,06,RhythmTool.md,Takedown,1
2017-03-06-SiliconLabs.md,2017,03,06,SiliconLabs.md,Takedown,1
2017-03-07-Cengage.md,2017,03,07,Cengage.md,Takedown,4
2017-03-07-PDGSolutions.md,2017,03,07,PDGSolutions.md,Takedown,1
2017-03-07-Pearson.md,2017,03,07,Pearson.md,Takedown,3
2017-03-07-Petrolink.md,2017,03,07,Petrolink.md,Takedown,1
2017-03-08-Apple.md,2017,03,08,Apple.md,Takedown,1
2017-03-08-Clojure.md,2017,03,08,Clojure.md,Takedown,1
2017-03-08-DecisionFlex.md,2017,03,08,DecisionFlex.md,Takedown,1
2017-03-08-ML4T.md,2017,03,08,ML4T.md,Takedown,2
2017-03-09-EloBuddy.md,2017,03,09,EloBuddy.md,Takedown,1
2017-03-09-Metaquotes.md,2017,03,09,Metaquotes.md,Takedown,18
2017-03-09-pokiimap.md,2017,03,09,pokiimap.md,Takedown,1
2017-03-13-Aviva.md,2017,03,13,Aviva.md,Takedown,1
2017-03-13-WPBakery.md,2017,03,13,WPBakery.md,Takedown,1
2017-03-14-ImagicalMine.md,2017,03,14,ImagicalMine.md,Takedown,5
2017-03-14-Kodi.md,2017,03,14,Kodi.md,Takedown,1
2017-03-14-Mail.md,2017,03,14,Mail.md,Takedown,1
2017-03-14-NoStarch.md,2017,03,14,NoStarch.md,Takedown,1
2017-03-15-Foothill.md,2017,03,15,Foothill.md,Takedown,1
2017-03-15-JohnWiley&Sons.md,2017,03,15,JohnWiley&Sons.md,Takedown,1
2017-03-16-Aniplex.md,2017,03,16,Aniplex.md,Takedown,1
2017-03-16-Dolby.md,2017,03,16,Dolby.md,Takedown,3
2017-03-20-HackersGuide.md,2017,03,20,HackersGuide.md,Takedown,1
2017-03-20-Huzuni.md,2017,03,20,Huzuni.md,Takedown,1
2017-03-20-ResidentFoundry.md,2017,03,20,ResidentFoundry.md,Takedown,1
2017-03-21-Challenger.md,2017,03,21,Challenger.md,Takedown,1
2017-03-21-Frontendmasters.md,2017,03,21,Frontendmasters.md,Takedown,1
2017-03-22-Codility.md,2017,03,22,Codility.md,Takedown,3
2017-03-22-esteve.md,2017,03,22,esteve.md,Takedown,1
2017-03-22-Frontendmasters-Retraction.md,2017,03,22,Frontendmasters-Retraction.md,Retraction,1
2017-03-22-Huzuni-Counter-notice.md,2017,03,22,Huzuni-Counter-notice.md,Counter Notice,1
2017-03-22-Taiba.md,2017,03,22,Taiba.md,Takedown,2
2017-03-22-THGTP.md,2017,03,22,THGTP.md,Takedown,3
2017-03-23-UCS.md,2017,03,23,UCS.md,Takedown,2
2017-03-23-Waitrose.md,2017,03,23,Waitrose.md,Takedown,1
2017-03-24-Ensage-Counter-notice.md,2017,03,24,Ensage-Counter-notice.md,Counter Notice,1
2017-03-24-Waitrose-CounterNotice.md,2017,03,24,Waitrose-CounterNotice.md,Counter Notice,1
2017-03-27-Kensington.md,2017,03,27,Kensington.md,Takedown,1
2017-03-27-Mobiscroll.md,2017,03,27,Mobiscroll.md,Takedown,10
2017-03-27-NoStarchPress.md,2017,03,27,NoStarchPress.md,Takedown,11
2017-03-27-Stereoarts.md,2017,03,27,Stereoarts.md,Takedown,1
2017-03-28-Contrast.md,2017,03,28,Contrast.md,Takedown,1
2017-03-28-FUNimation-2.md,2017,03,28,FUNimation-2.md,Takedown,1
2017-03-28-FUNimation.md,2017,03,28,FUNimation.md,Takedown,1
2017-03-28-MXInternational.md,2017,03,28,MXInternational.md,Takedown,1
2017-03-28-Plantain.md,2017,03,28,Plantain.md,Takedown,19
2017-03-28-Shop++.md,2017,03,28,Shop++.md,Takedown,1
2017-03-29-24nME.md,2017,03,29,24nME.md,Takedown,1
2017-03-29-Chegg.md,2017,03,29,Chegg.md,Takedown,1
2017-03-29-Jetbrains-2.md,2017,03,29,Jetbrains-2.md,Takedown,3
2017-03-29-Jetbrains.md,2017,03,29,Jetbrains.md,Takedown,100
2017-03-30-CorgiEngine.md,2017,03,30,CorgiEngine.md,Takedown,2
2017-03-30-Dolby-2.md,2017,03,30,Dolby-2.md,Takedown,30
2017-03-30-Dolby-3.md,2017,03,30,Dolby-3.md,Takedown,30
2017-03-30-Dolby.md,2017,03,30,Dolby.md,Takedown,30
2017-03-30-Mobiscroll.md,2017,03,30,Mobiscroll.md,Takedown,4
2017-03-30-Stereoarts.md,2017,03,30,Stereoarts.md,Takedown,1
2017-03-30-Unity.md,2017,03,30,Unity.md,Takedown,1
2017-03-31-Flare3d.md,2017,03,31,Flare3d.md,Takedown,1
2017-04-03-Altis.md,2017,04,03,Altis.md,Takedown,1
2017-04-03-Dataiku.md,2017,04,03,Dataiku.md,Takedown,1
2017-04-03-Dolby.md,2017,04,03,Dolby.md,Takedown,23
2017-04-03-FBEventsCalendar.md,2017,04,03,FBEventsCalendar.md,Takedown,1
2017-04-03-GunLicenses.md,2017,04,03,GunLicenses.md,Takedown,1
2017-04-03-OSPrinciples.md,2017,04,03,OSPrinciples.md,Takedown,49
2017-04-03-SansCyrillic.md,2017,04,03,SansCyrillic.md,Takedown,1
2017-04-03-Test1.md,2017,04,03,Test1.md,Takedown,2
2017-04-04-ChromeCheats.md,2017,04,04,ChromeCheats.md,Takedown,1
2017-04-04-OReilly.md,2017,04,04,OReilly.md,Takedown,2
2017-04-04-ScriptEnforcer.md,2017,04,04,ScriptEnforcer.md,Takedown,6
2017-04-04-Zalando.md,2017,04,04,Zalando.md,Takedown,1
2017-04-05-Asone.md,2017,04,05,Asone.md,Takedown,1
2017-04-05-HachetteLivre.md,2017,04,05,HachetteLivre.md,Takedown,1
2017-04-05-Qumpara.md,2017,04,05,Qumpara.md,Takedown,1
2017-04-05-Stereoarts-1.md,2017,04,05,Stereoarts-1.md,Takedown,1
2017-04-05-Stereoarts.md,2017,04,05,Stereoarts.md,Takedown,1
2017-04-06-DK-US.md,2017,04,06,DK-US.md,Takedown,1
2017-04-06-HarperCollins.md,2017,04,06,HarperCollins.md,Takedown,1
2017-04-06-HarvardBusinessPublishing.md,2017,04,06,HarvardBusinessPublishing.md,Takedown,1
2017-04-06-IonCube.md,2017,04,06,IonCube.md,Takedown,1
2017-04-06-RocketRegions.md,2017,04,06,RocketRegions.md,Takedown,1
2017-04-06-Zalando.md,2017,04,06,Zalando.md,Takedown,1
2017-04-07-FitnessApp.md,2017,04,07,FitnessApp.md,Takedown,1
2017-04-07-FoneticSolutions.md,2017,04,07,FoneticSolutions.md,Takedown,1
2017-04-07-Unity.md,2017,04,07,Unity.md,Takedown,24
2017-04-10-Apple.md,2017,04,10,Apple.md,Takedown,4
2017-04-10-Jobider.md,2017,04,10,Jobider.md,Takedown,1
2017-04-10-Pearson.md,2017,04,10,Pearson.md,Takedown,1
2017-04-10-PerseusBooks.md,2017,04,10,PerseusBooks.md,Takedown,1
2017-04-10-ResponsiveCharts.md,2017,04,10,ResponsiveCharts.md,Takedown,1
2017-04-10-Vector.md,2017,04,10,Vector.md,Takedown,1
2017-04-11-ContentAnalytics.md,2017,04,11,ContentAnalytics.md,Takedown,1
2017-04-11-WGU.md,2017,04,11,WGU.md,Takedown,1
2017-04-12-ContentAnalytics.md,2017,04,12,ContentAnalytics.md,Takedown,2
2017-04-12-Snapchat.md,2017,04,12,Snapchat.md,Takedown,1
2017-04-12-TheGrid.md,2017,04,12,TheGrid.md,Takedown,1
2017-04-13-BasemarkCL.md,2017,04,13,BasemarkCL.md,Takedown,1
2017-04-13-Patreon.md,2017,04,13,Patreon.md,Takedown,2
2017-04-13-TrueConf.md,2017,04,13,TrueConf.md,Takedown,1
2017-04-13-WifiJammer.md,2017,04,13,WifiJammer.md,Takedown,1
2017-04-17-Ambarella.md,2017,04,17,Ambarella.md,Takedown,8
2017-04-17-OReilly.md,2017,04,17,OReilly.md,Takedown,7
2017-04-18-Arcade.md,2017,04,18,Arcade.md,Takedown,1
2017-04-18-EnderPearlCoolDown.md,2017,04,18,EnderPearlCoolDown.md,Takedown,1
2017-04-18-Penguin-2.md,2017,04,18,Penguin-2.md,Takedown,1
2017-04-18-Penguin.md,2017,04,18,Penguin.md,Takedown,1
2017-04-18-SFMono.md,2017,04,18,SFMono.md,Takedown,4
2017-04-19-Ambarella.md,2017,04,19,Ambarella.md,Takedown,9
2017-04-19-LittleFlocker.md,2017,04,19,LittleFlocker.md,Takedown,2
2017-04-19-Mobiscroll.md,2017,04,19,Mobiscroll.md,Takedown,4
2017-04-21-Camtasia.md,2017,04,21,Camtasia.md,Takedown,1
2017-04-21-playfig.md,2017,04,21,playfig.md,Takedown,3
2017-04-24-PacktPublishing.md,2017,04,24,PacktPublishing.md,Takedown,1
2017-04-24-Pearson.md,2017,04,24,Pearson.md,Takedown,10
2017-04-24-Stereoarts.md,2017,04,24,Stereoarts.md,Takedown,1
2017-04-25-DigitalWorx-2.md,2017,04,25,DigitalWorx-2.md,Takedown,1
2017-04-25-DigitalWorx.md,2017,04,25,DigitalWorx.md,,Duplicate
2017-04-25-Mobiscroll.md,2017,04,25,Mobiscroll.md,Takedown,2
2017-04-25-ProjectM.md,2017,04,25,ProjectM.md,Takedown,1
2017-04-25-RBoy.md,2017,04,25,RBoy.md,Takedown,1
2017-04-25-Requiem.md,2017,04,25,Requiem.md,Takedown,3
2017-04-25-Shop++.md,2017,04,25,Shop++.md,Takedown,1
2017-04-25-webshop.md,2017,04,25,webshop.md,Takedown,1
2017-04-26-Cengage.md,2017,04,26,Cengage.md,Takedown,2
2017-04-26-flysystem.md,2017,04,26,flysystem.md,Takedown,1
2017-04-26-IEEE.md,2017,04,26,IEEE.md,Takedown,1
2017-04-26-Mailwizz-1.md,2017,04,26,Mailwizz-1.md,Takedown,1
2017-04-26-Mailwizz.md,2017,04,26,Mailwizz.md,Takedown,1
2017-04-26-PulsarEffect.md,2017,04,26,PulsarEffect.md,Takedown,1
2017-04-26-RemoteCodeKernel.md,2017,04,26,RemoteCodeKernel.md,Takedown,3
2017-04-26-TechnoRides.md,2017,04,26,TechnoRides.md,Takedown,1
2017-04-27-Cengage.md,2017,04,27,Cengage.md,Takedown,1
2017-04-27-mintedbaby.md,2017,04,27,mintedbaby.md,Takedown,1
2017-04-27-Socialstrap.md,2017,04,27,Socialstrap.md,Takedown,1
2017-04-27-StereoArts.md,2017,04,27,StereoArts.md,Takedown,1
2017-04-28-Bootkit.md,2017,04,28,Bootkit.md,Takedown,1
2017-04-28-FedenaPro.md,2017,04,28,FedenaPro.md,Takedown,1
2017-04-28-Requiem.md,2017,04,28,Requiem.md,Takedown,3
2017-05-01-Docketmate.md,2017,05,01,Docketmate.md,Takedown,1
